dispatch_number,date,time,address,location,location_detail,activity,activity_medium,disposition,details,details_text
22007913,2022-01-17,17:57:00,Hwy 1 W/Naples Ave,NA,Hwy 1 W/Naples Ave,TR/RECKLESS DRIVER,TR/RECKLESS DRIVER,UNABLE TO LOCATE,Y,NA
22007911,2022-01-17,17:57:00,33 West Side Dr,NA,33 West Side Dr,911 HANGUP,911 HANGUP,INFORMATION,N,NA
22007910,2022-01-17,17:57:00,125 Hwy 1 W,FIN AND FEATHER,125 Hwy 1 W,TRAFFIC STOP,TRAFFIC STOP,WARNING ISSUED VERBAL,N,NA
22007907,2022-01-17,17:51:00,201 S Clinton St,BUFFALO WILD WINGS,201 S Clinton St,TRESPASS,TRESPASS,COMPLETED,N,NA
22007906,2022-01-17,17:43:00,410 E WASHINGTON ST,IOWA CITY POLICE DEPARTMENT,410 E WASHINGTON ST,PHONE REQUEST,PHONE REQUEST,PREVIOUS INCIDENT,N,NA
22007903,2022-01-17,17:41:00,342 Hwy 1 W,ZIO JOHNOS SPAGHETTI HOUSE,342 Hwy 1 W,MVA/PERSONAL INJURY ACCIDENT,MVA/PERSONAL INJURY ACCIDENT,INCIDENT REPORT TAKEN,Y,NA
22007900,2022-01-17,17:34:00,1710 5th St,NA,1710 5th St,OUT FOR INVEST/FOLLOW UP,OUT FOR INVEST/FOLLOW UP,COMPLETED,Y,NA
22007897,2022-01-17,17:17:00,E Washington St/Pearl St,NA,E Washington St/Pearl St,ANIMAL/LOST,ANIMAL/LOST,INFORMATION,Y,NA
22007893,2022-01-17,17:10:00,Hwy 6 E/Boyrum St,NA,Hwy 6 E/Boyrum St,TRAFFIC STOP,TRAFFIC STOP,WARNING ISSUED VERBAL,N,NA
22007892,2022-01-17,17:07:00,10 Gleason Dr,NA,10 Gleason Dr,TRAFFIC STOP,TRAFFIC STOP,WARNING ISSUED VERBAL,N,NA
22007891,2022-01-17,17:02:00,703 Carriage Hl,NA,703 Carriage Hl 6,911 HANGUP,911 HANGUP,INFORMATION,N,NA
22007886,2022-01-17,16:50:00,1310 S Gilbert St,KUM & GO,1310 S Gilbert St,PAPER SERVICE/WARRANT,PAPER SERVICE/WARRANT,PREVIOUS INCIDENT,Y,NA
22007884,2022-01-17,16:49:00,1916 Grantwood Dr,NA,1916 Grantwood Dr,Z Overdose/Poisoning,Z Overdose/Poisoning,PT TRANSPORTED,Y,NA
22007879,2022-01-17,16:43:00,1720 WATERFRONT DR,HY-VEE,1720 WATERFRONT DR,TRAFFIC STOP,TRAFFIC STOP,WARNING ISSUED VERBAL,N,NA
22007877,2022-01-17,16:39:00,1605 Somerset Ln,NA,1605 Somerset Ln,WELFARE CHECK,WELFARE CHECK,COMPLETED,N,NA
22007875,2022-01-17,16:37:00,410 e washington St,NA,410 e washington St,PHONE REQUEST,PHONE REQUEST,INCIDENT REPORT TAKEN,Y,NA
22007873,2022-01-17,16:34:00,500 S Dodge St,NA,500 S Dodge St,TRAFFIC STOP,TRAFFIC STOP,WARNING ISSUED VERBAL,N,NA
22007870,2022-01-17,16:24:00,415 E Washington St,CHAUNCEY SWAN PARKING RAMP,415 E Washington St,"NARCOTICS","NARCOTICS",UNABLE TO LOCATE,N,NA
22007866,2022-01-17,16:22:00,1820 Boyrum ST,BIG TEN RENTALS,1820 Boyrum ST,OUT FOR INVEST/FOLLOW UP,OUT FOR INVEST/FOLLOW UP,PREVIOUS INCIDENT,N,NA
22007861,2022-01-17,16:03:00,424 Clark ST,NA,424 Clark ST,PHONE REQUEST,PHONE REQUEST,COMPLETED,N,NA
22007860,2022-01-17,16:06:00,S Riverside Ct/S Riverside Dr,NA,S Riverside Ct/S Riverside Dr,TRAFFIC STOP,TRAFFIC STOP,WARNING ISSUED VERBAL,N,NA
22007859,2022-01-17,16:03:00,1100 ARTHUR ST,TOWN & CAMPUS APARTMENTS,1100 ARTHUR ST,FOOT PATROL,FOOT PATROL,COMPLETED,N,NA
22007857,2022-01-17,15:59:00,700 Giblin Dr,NA,700 Giblin Dr,TRAFFIC STOP,TRAFFIC STOP,WARNING ISSUED VERBAL,N,NA
22007852,2022-01-17,15:45:00,Lakeside Dr/Hwy 6 E,NA,Lakeside Dr/Hwy 6 E,ASSIST OTHER AGENCY,ASSIST OTHER AGENCY,COMPLETED,Y,NA
22007849,2022-01-17,15:39:00,637 S Lucas St,NA,637 S Lucas St 3,ANIMAL/LOST,ANIMAL/LOST,INFORMATION,N,NA
22007847,2022-01-17,15:33:00,812 S 1st AVE,HY-VEE,812 S 1st AVE,THEFT/SHOPLIFTING,THEFT/SHOPLIFTING,INCIDENT REPORT TAKEN,N,NA
22007846,2022-01-17,15:32:00,731 S Riverside DR,KUM & GO,731 S Riverside DR,BUSINESS CHECK OPEN,BUSINESS CHECK OPEN,COMPLETED,N,NA
22007845,2022-01-17,15:25:00,1445 BOYRUM ST,BURGER KING,1445 BOYRUM ST,JUV/GENERAL,JUV/GENERAL,CANCEL BY COMPL,N,NA
22007844,2022-01-17,15:07:00,300 E Court St,NA,300 E Court St,PUBLIC ASSIST,PUBLIC ASSIST,COMPLETED,N,NA
22007843,2022-01-17,15:19:00,W Burlington St/S Capitol St,NA,W Burlington St/S Capitol St,TRAFFIC STOP,TRAFFIC STOP,TRAFFIC CITATION,N,NA
22007831,2022-01-17,14:51:00,1720 WATERFRONT DR,HY-VEE,1720 WATERFRONT DR,TR/ROAD HAZARD,TR/ROAD HAZARD,REF TO OTHER AGENCY,Y,NA
22007829,2022-01-17,14:40:00,609 HOLLYWOOD BLVD,VFW,609 HOLLYWOOD BLVD,SUSPICIOUS/ACT/PERS/VEH,SUSPICIOUS/ACT/PERS/VEH,UNABLE TO LOCATE,Y,NA
22007826,2022-01-17,14:25:00,118 S Clinton ST,PINTS,118 S Clinton ST,OUT FOR INVEST/FOLLOW UP,OUT FOR INVEST/FOLLOW UP,COMPLETED,N,NA
22007824,2022-01-17,14:22:00,20 S Gilbert ST,AUGUSTA PLACE APARTMENTS,20 S Gilbert ST 511,FIRE RESPONSE LAW,FIRE RESPONSE LAW,COMPLETED,N,NA
22007822,2022-01-17,14:21:00,525 E Washington ST,NA,525 E Washington ST,DIST/CIVIL DISPUTE,DIST/CIVIL DISPUTE,CIVIL,N,NA
22007819,2022-01-17,14:19:00,220 S Gilbert ST,ROBERT A LEE RECREATION CENTER,220 S Gilbert ST,VAGRANT/TRANSIENT,VAGRANT/TRANSIENT,WARNING ISSUED VERBAL,Y,NA
22007802,2022-01-17,12:42:00,320 S Dubuque St,NA,320 S Dubuque St 301,Z Unknown Problem,Z Unknown Problem,HANDLED BY OTHER AGENCY,Y,NA
22007799,2022-01-17,12:41:00,Elizabeth St/E Bloomington St,NA,Elizabeth St/E Bloomington St,TR/PARKING,TR/PARKING,INFORMATION,Y,NA
22007798,2022-01-17,12:40:00,1415 Dolen Pl,NA,1415 Dolen Pl,PHONE REQUEST,PHONE REQUEST,COMPLETED,Y,NA
22007796,2022-01-17,12:31:00,20 Arbor Hill Cir,NA,20 Arbor Hill Cir 37,Z Hemorrhage/Lacerations,Z Hemorrhage/Lacerations,COMPLETED,Y,NA
22007788,2022-01-17,12:25:00,331 S Lucas St,NA,331 S Lucas St 1,THEFT,THEFT,INCIDENT REPORT TAKEN,N,NA
22007786,2022-01-17,12:26:00,4102 Unbridled Ave,HOLLY RENAUD,4102 Unbridled Ave,ALARM/BURGLARY,ALARM/BURGLARY,COMPLETED,Y,NA
22007784,2022-01-17,12:20:00,Lower Muscatine Rd/Ash St,NA,Lower Muscatine Rd/Ash St,ANIMAL/LOST,ANIMAL/LOST,INFORMATION,Y,NA
22007783,2022-01-17,12:21:00,410 E WASHINGTON ST,IOWA CITY POLICE DEPARTMENT,410 E WASHINGTON ST,SPECIAL ASSIGNMENT,SPECIAL ASSIGNMENT,COMPLETED,N,NA
22007782,2022-01-17,12:19:00,225 E PRENTISS ST,NA,225 E PRENTISS ST 309,ANIMAL/NOISE,ANIMAL/NOISE,NO REPORT,Y,NA
22007772,2022-01-17,11:50:00,464 Samoa Dr,NA,464 Samoa Dr,PHONE REQUEST,PHONE REQUEST,INFORMATION,Y,NA
22007771,2022-01-17,11:45:00,220 S Dubuque St,DUBUQUE ST RAMP,220 S Dubuque St,CRIMINAL MISC/VANDALISM,CRIMINAL MISC/VANDALISM,INCIDENT REPORT TAKEN,Y,NA
22007768,2022-01-17,11:41:00,435 S Linn ST,RISE AT RIVERFRONT,435 S Linn ST,911 HANGUP,911 HANGUP,INFORMATION,Y,NA
22007767,2022-01-17,11:36:00,1641 S 1st Ave,K AND Q NAILS,1641 S 1st Ave,911 HANGUP,911 HANGUP,INFORMATION,Y,NA
22007762,2022-01-17,11:27:00,1130 E Washington St,NA,1130 E Washington St,TR/PARKING,TR/PARKING,INFORMATION,Y,NA
22007761,2022-01-17,11:22:00,1609 Deforest Ave,FAITH UNITED CHURCH OF CHRIST,1609 Deforest Ave,TR/PARKING,TR/PARKING,INFORMATION,Y,NA
22007758,2022-01-17,11:08:00,S Gilbert St/Hwy 6 E,NA,S Gilbert St/Hwy 6 E,TR/MOTORIST ASSIST,TR/MOTORIST ASSIST,COMPLETED,Y,NA
22007755,2022-01-17,10:52:00,1688 Foster Rd,CHRISTINE NON,1688 Foster Rd,ALARM/BURGLARY,ALARM/BURGLARY,UNK CAUSE ALARM,Y,NA
22007749,2022-01-17,10:50:00,170 E Court St,COURT ST RAMP,170 E Court St,PHONE REQUEST,PHONE REQUEST,INCIDENT REPORT TAKEN,Y,NA
22007748,2022-01-17,10:48:00,4 Sturgis Corner Dr,HAMPTON INN,4 Sturgis Corner Dr,PROPERTY/LOST,PROPERTY/LOST,INCIDENT REPORT TAKEN,Y,NA
22007747,2022-01-17,10:41:00,410 E WASHINGTON ST,IOWA CITY POLICE DEPARTMENT,410 E WASHINGTON ST,PHONE REQUEST,PHONE REQUEST,COMPLETED,Y,NA
22007744,2022-01-17,10:39:00,752 Tipperary Rd,NA,752 Tipperary Rd,ANIMAL/CALL GENERAL,ANIMAL/CALL GENERAL,COMPLETED,Y,NA
22007730,2022-01-17,10:15:00,1632 Sycamore St,UI QUICKCARE,1632 Sycamore St,Z Transfer/Interfacility/Palliative Care,Z Transfer/Interfacility/Palliative Care,IGNORE,Y,NA
22007724,2022-01-17,10:07:00,2340 Kristian St,NA,2340 Kristian St,TR/PARKING,TR/PARKING,INFORMATION,Y,NA
22007723,2022-01-17,10:07:00,Rohret Rd/Wild Prairie Dr,NA,Rohret Rd/Wild Prairie Dr,TR/MOTORIST ASSIST,TR/MOTORIST ASSIST,COMPLETED,N,NA
22007722,2022-01-17,10:04:00,732 Elliott Ct,NA,732 Elliott Ct,911 HANGUP,911 HANGUP,INFORMATION,Y,NA
22007709,2022-01-17,09:42:00,815 Cross Park Ave,NA,815 Cross Park Ave 3D,WELFARE CHECK,WELFARE CHECK,COMPLETED,Y,NA
22007706,2022-01-17,09:33:00,815 Wylde Green Rd,NA,815 Wylde Green Rd,Z Sick Person,Z Sick Person,COMPLETED,Y,NA
22007703,2022-01-17,09:17:00,1816 LOWER MUSCATINE RD,KIRKWOOD COMMUNITY COLLEGE,1816 LOWER MUSCATINE RD,911 HANGUP,911 HANGUP,COMPLETED,Y,NA
22007701,2022-01-17,09:03:00,113 S Scott Blvd,NA,113 S Scott Blvd,PHONE REQUEST,PHONE REQUEST,COMPLETED,Y,NA
22007697,2022-01-17,08:54:00,438 Hwy 1 W,LA REGIA,438 Hwy 1 W,ALARM/BURGLARY,ALARM/BURGLARY,EMPL ERROR ALARM,Y,NA
22007690,2022-01-17,08:04:00,316 E Bloomington ST,LAUNDROMANIA,316 E Bloomington ST,VAGRANT/TRANSIENT,VAGRANT/TRANSIENT,COMPLETED,Y,NA
22007683,2022-01-17,07:17:00,1705 S 1st Ave,CAT CLINIC OF IOWA CITY,1705 S 1st Ave,ANIMAL/CARCASS,ANIMAL/CARCASS,UNABLE TO LOCATE,Y,NA
22007676,2022-01-17,06:14:00,410 E WASHINGTON ST,IOWA CITY POLICE DEPARTMENT,410 E WASHINGTON ST,ESCORT/RELAY,ESCORT/RELAY,COMPLETED,Y,NA
22007673,2022-01-17,05:43:00,642 12th Ave,NA,642 12th Ave 5,ASSIST OTHER AGENCY,ASSIST OTHER AGENCY,INCIDENT REPORT TAKEN,Y,NA
22007671,2022-01-17,05:31:00,100 Hawk Ridge Dr,NA,100 Hawk Ridge Dr 5,ASSIST OTHER AGENCY,ASSIST OTHER AGENCY,COMPLETED,Y,NA
22007669,2022-01-17,05:25:00,1108 Oakcrest St,NA,1108 Oakcrest St 11,Z Sick Person,Z Sick Person,HANDLED BY OTHER AGENCY,Y,NA
22007662,2022-01-17,04:55:00,S Linn St/E Court St,NA,S Linn St/E Court St,PHONE REQUEST,PHONE REQUEST,INCIDENT REPORT TAKEN,Y,NA
22007655,2022-01-17,04:06:00,501 N Dubuque St,NA,501 N Dubuque St 5,911 HANGUP,911 HANGUP,INFORMATION,Y,NA
22007652,2022-01-17,03:41:00,702 N Dubuque St,SIGMA PHI EPSILON,702 N Dubuque St,FIRE RESPONSE LAW,FIRE RESPONSE LAW,COMPLETED,Y,NA
22007647,2022-01-17,03:15:00,1095 Silvercrest Cir,LEGACY RIDGE 2,1095 Silvercrest Cir 217,Z Falls,Z Falls,HANDLED BY OTHER AGENCY,Y,NA
22007642,2022-01-17,02:43:00,601 HWY 6 W,VA HOSPITAL,601 HWY 6 W,PUBLIC ASSIST,PUBLIC ASSIST,COMPLETED,N,NA
22007641,2022-01-17,02:42:00,300 Southgate Ave,GUIDELINK CENTER,300 Southgate Ave,Z Breathing Problems,Z Breathing Problems,HANDLED BY OTHER AGENCY,Y,NA
22007637,2022-01-17,02:12:00,300 E Iowa Ave,NA,300 E Iowa Ave,OUT WITH SUBJ,OUT WITH SUBJ,COMPLETED,Y,NA
22007636,2022-01-17,02:06:00,435 S Linn ST,RISE AT RIVERFRONT,435 S Linn ST 1203,UNKNOWN PROBLEM,UNKNOWN PROBLEM,COMPLETED,Y,NA
22007635,2022-01-17,02:00:00,410 E Washington St,NA,410 E Washington St,TR/PARKING,TR/PARKING,COMPLETED,Y,NA
22007633,2022-01-17,01:47:00,25 W BURLINGTON ST,KUM & GO,25 W BURLINGTON ST,TRAFFIC STOP,TRAFFIC STOP,ARREST MADE,Y,NA
22007632,2022-01-17,01:43:00,511 S Johnson St,NA,511 S Johnson St 12,DIST/NOISE GENERAL,DIST/NOISE GENERAL,NOISE WARNING,Y,NA
22007629,2022-01-17,01:39:00,919 Hwy 1 W,WALMART,919 Hwy 1 W,PHONE REQUEST,PHONE REQUEST,COMPLETED,Y,NA
22007628,2022-01-17,01:38:00,1225 S 1st Ave,NA,1225 S 1st Ave,Z Sick Person,Z Sick Person,HANDLED BY OTHER AGENCY,Y,NA
22007625,2022-01-17,01:28:00,2303 MUSCATINE AVE,KUM & GO,2303 MUSCATINE AVE,PUBLIC ASSIST,PUBLIC ASSIST,COMPLETED,Y,NA
22007624,2022-01-17,01:23:00,315 N Governor St,NA,315 N Governor St,911 HANGUP,911 HANGUP,INFORMATION,Y,NA
22007622,2022-01-17,01:21:00,410 E Washington St,NA,410 E Washington St,PHONE REQUEST,PHONE REQUEST,COMPLETED,Y,NA
22007621,2022-01-17,01:17:00,111 S Scott Blvd,NA,111 S Scott Blvd,DIST/NOISE GENERAL,DIST/NOISE GENERAL,NOISE WARNING,Y,NA
22007619,2022-01-17,01:09:00,419 S JOHNSON ST,NA,419 S JOHNSON ST B,DIST/FIGHT IN PROGRESS,DIST/FIGHT IN PROGRESS,ARREST MADE,Y,NA
22007617,2022-01-17,01:01:00,S Linn St/E Iowa Ave,NA,S Linn St/E Iowa Ave,TRAFFIC STOP,TRAFFIC STOP,WARNING ISSUED VERBAL,Y,NA
22007616,2022-01-17,00:59:00,S Dubuque St/E Washington St,NA,S Dubuque St/E Washington St,TRAFFIC STOP,TRAFFIC STOP,WARNING ISSUED VERBAL,N,NA
22007613,2022-01-17,00:52:00,N Riverside Dr/River St,NA,N Riverside Dr/River St,TRAFFIC STOP,TRAFFIC STOP,WARNING ISSUED VERBAL,N,NA
22007611,2022-01-17,00:36:00,E Court St/S Linn St,NA,E Court St/S Linn St,TRAFFIC STOP,TRAFFIC STOP,WARNING ISSUED VERBAL,N,NA
22007610,2022-01-17,00:34:00,605 GREENWOOD DR,BRIARWOOD HEALTHCARE CENTER,605 GREENWOOD DR,Z Sick Person,Z Sick Person,HANDLED BY OTHER AGENCY,Y,NA
22007606,2022-01-17,00:31:00,201 Hawk Ridge Dr,NA,201 Hawk Ridge Dr 2113,OUT FOR INVEST/FOLLOW UP,OUT FOR INVEST/FOLLOW UP,COMPLETED,Y,NA
22007605,2022-01-17,00:29:00,111 S Scott Blvd,NA,111 S Scott Blvd,DIST/NOISE GENERAL,DIST/NOISE GENERAL,NOISE WARNING,Y,NA
22007604,2022-01-17,00:20:00,N Dubuque St/W Park Rd,NA,N Dubuque St/W Park Rd,TRAFFIC STOP,TRAFFIC STOP,WARNING ISSUED VERBAL,N,NA
22007510,2022-01-16,18:54:00,820 Cross Park AVE,CROSS PARK PLACE,820 Cross Park AVE 115,Z Back Pain,Z Back Pain,HANDLED BY OTHER AGENCY,Y,NA
22007502,2022-01-16,18:40:00,527 S RIVERSIDE DR,NA,527 S RIVERSIDE DR 2,FRAUD/BAD CHECKS,FRAUD/BAD CHECKS,REF TO OTHER AGENCY,Y,NA
22007498,2022-01-16,18:30:00,844 Pepper Dr,NA,844 Pepper Dr,SUSPICIOUS/ACT/PERS/VEH,SUSPICIOUS/ACT/PERS/VEH,COMPLETED,N,NA
22007497,2022-01-16,18:22:00,525 Hwy 1 W,DELIMART,525 Hwy 1 W,THEFT/SHOPLIFTING,THEFT/SHOPLIFTING,INCIDENT REPORT TAKEN,Y,NA
22007494,2022-01-16,17:43:00,Hwy 6 E/Sycamore St,NA,Hwy 6 E/Sycamore St,TRAFFIC STOP,TRAFFIC STOP,WARNING ISSUED VERBAL,N,NA
22007493,2022-01-16,17:38:00,S Scott Blvd/E Court St,NA,S Scott Blvd/E Court St 37,MVA/HIT AND RUN PD,MVA/HIT AND RUN PD,INCIDENT REPORT TAKEN,Y,NA
22007491,2022-01-16,17:37:00,S 1st Ave/Mall Dr,NA,S 1st Ave/Mall Dr,TRAFFIC STOP,TRAFFIC STOP,WARNING ISSUED VERBAL,Y,NA
22007488,2022-01-16,17:34:00,2303 MUSCATINE AVE,KUM & GO,2303 MUSCATINE AVE,OUT WITH SUBJ,OUT WITH SUBJ,WARNING ISSUED VERBAL,N,NA
22007483,2022-01-16,17:23:00,2430 Muscatine Ave,EDEN APARTMENTS,2430 Muscatine Ave,TRAFFIC STOP,TRAFFIC STOP,WARNING ISSUED VERBAL,N,NA
22007480,2022-01-16,17:19:00,505 E Burlington ST,NA,505 E Burlington ST 8C,ANIMAL/CALL GENERAL,ANIMAL/CALL GENERAL,REFER TO ANIMAL CONTROL,Y,NA
22007479,2022-01-16,17:18:00,3902 Unbridled Ave,NA,3902 Unbridled Ave,911 HANGUP,911 HANGUP,INFORMATION,Y,NA
22007478,2022-01-16,17:13:00,708 Westwinds Dr,NA,708 Westwinds Dr 2,MISSING/ADULT,MISSING/ADULT,NA,Y,NA
22007476,2022-01-16,17:13:00,Kirkwood Ave/Maiden Ln,NA,Kirkwood Ave/Maiden Ln,TRAFFIC STOP,TRAFFIC STOP,ARREST MADE,N,NA
22007474,2022-01-16,16:58:00,457 S Gilbert St,FALBO BROTHERS PIZZA,457 S Gilbert St,PUBLIC ASSIST,PUBLIC ASSIST,COMPLETED,N,NA
22007472,2022-01-16,16:55:00,2765 Commerce Dr,FAREWAY STORE,2765 Commerce Dr,EXTRA PATROL REQUEST,EXTRA PATROL REQUEST,COMPLETED,N,NA
22007471,2022-01-16,16:44:00,4522 Taft Ave SE,NA,4522 Taft Ave SE,ASSIST OTHER AGENCY,ASSIST OTHER AGENCY,COMPLETED,Y,NA
22007469,2022-01-16,16:42:00,300 Southgate Ave,GUIDELINK CENTER,300 Southgate Ave,Z Sick Person,Z Sick Person,HANDLED BY OTHER AGENCY,Y,NA
22007465,2022-01-16,16:37:00,1040 Briar Dr,"BURGUS,BRANDON AND AMANDA",1040 Briar Dr,HARASSMENT/OBSCENE PHONE,HARASSMENT/OBSCENE PHONE,COMPLETED,N,NA
22007464,2022-01-16,16:35:00,1100 ARTHUR ST,NA,1100 ARTHUR ST B6,PAPER SERVICE/WARRANT,PAPER SERVICE/WARRANT,UNABLE TO LOCATE,N,NA
22007459,2022-01-16,16:23:00,201 S Clinton St,OLD CAPITOL TOWN CENTER,201 S Clinton St,BUSINESS CHECK OPEN,BUSINESS CHECK OPEN,COMPLETED,N,NA
22007458,2022-01-16,16:11:00,410 E Washington St,NA,410 E Washington St,ANIMAL/K9 OTHER THAN TRAINING,ANIMAL/K9 OTHER THAN TRAINING,COMPLETED,Y,NA
22007456,2022-01-16,16:08:00,1851 Melrose Ave,NA,1851 Melrose Ave 211,Z Falls,Z Falls,HANDLED BY OTHER AGENCY,Y,NA
22007451,2022-01-16,15:58:00,2303 MUSCATINE AVE,KUM & GO,2303 MUSCATINE AVE,TRAFFIC STOP,TRAFFIC STOP,COMPLETED,N,NA
22007450,2022-01-16,15:55:00,505 E COLLEGE ST,505-507 E COLLEGE LLC,505 E COLLEGE ST,TR/MOTORIST ASSIST,TR/MOTORIST ASSIST,COMPLETED,Y,NA
22007445,2022-01-16,15:43:00,712 Dearborn St,NA,712 Dearborn St,911 HANGUP,911 HANGUP,INFORMATION,Y,NA
22007439,2022-01-16,15:28:00,919 Hwy 1 W,WALMART,919 Hwy 1 W,MVA/HIT AND RUN PD,MVA/HIT AND RUN PD,COMPLETED,N,NA
22007437,2022-01-16,15:27:00,1503 5th St,CORALVILLE POLICE DEPARTMENT,1503 5th St,WALKIN,WALKIN,COMPLETED,Y,NA
22007436,2022-01-16,15:24:00,849 Sandusky Dr,NA,849 Sandusky Dr,DIST/FIGHT IN PROGRESS,DIST/FIGHT IN PROGRESS,INCIDENT REPORT TAKEN,Y,NA
22007433,2022-01-16,15:13:00,906 Tamarack Trl,"GELLHAUS,THOMAS AND MELANIE",906 Tamarack Trl,ALARM/BURGLARY,ALARM/BURGLARY,UNK CAUSE ALARM,N,NA
22007429,2022-01-16,14:56:00,919 Hwy 1 W,WALMART,919 Hwy 1 W,THEFT/SHOPLIFTING,THEFT/SHOPLIFTING,DECLINE REPORT ON SCENE,Y,NA
22007424,2022-01-16,14:47:00,671 Nex Ave,NEX APARTMENTS,671 Nex Ave,FIRE RESPONSE LAW,FIRE RESPONSE LAW,COMPLETED,Y,NA
22007419,2022-01-16,14:23:00,334 Finkbine Ln,NA,334 Finkbine Ln,911 HANGUP,911 HANGUP,INFORMATION,N,NA
22007414,2022-01-16,14:00:00,412 S Dodge St,NA,412 S Dodge St,ANIMAL/CALL GENERAL,ANIMAL/CALL GENERAL,UNABLE TO LOCATE,N,NA
22007402,2022-01-16,13:37:00,200 S Clinton St,NA,200 S Clinton St,FOOT PATROL,FOOT PATROL,COMPLETED,Y,NA
22007400,2022-01-16,13:32:00,410 E WASHINGTON ST,IOWA CITY POLICE DEPARTMENT,410 E WASHINGTON ST,WELFARE CHECK,WELFARE CHECK,NO REPORT,N,NA
22007396,2022-01-16,13:23:00,1st Ave/Auburn Hills Dr,NA,1st Ave/Auburn Hills Dr,ANIMAL/FOUND,ANIMAL/FOUND,COMPLETED,Y,NA
22007391,2022-01-16,13:17:00,10 S Van Buren St,NA,10 S Van Buren St,FOOT PATROL,FOOT PATROL,COMPLETED,Y,NA
22007390,2022-01-16,13:16:00,1621 Spruce Ct,NA,1621 Spruce Ct,Z Sick Person,Z Sick Person,HANDLED BY OTHER AGENCY,Y,NA
22007387,2022-01-16,13:14:00,100 E COLLEGE ST,NA,100 E COLLEGE ST,FOOT PATROL,FOOT PATROL,COMPLETED,Y,NA
22007384,2022-01-16,13:08:00,2781 Triple Crown Ln,NA,2781 Triple Crown Ln,TR/PARKING,TR/PARKING,COMPLETED,N,NA
22007381,2022-01-16,13:08:00,310 N Clinton St,NA,310 N Clinton St,TR/PARKING,TR/PARKING,PARKING TICKET,N,NA
22007370,2022-01-16,12:44:00,3661 Rochester Ave,IOWA CITY REHAB AND HEALTHCARE,3661 Rochester Ave,MENTAL IMPAIRMENT,MENTAL IMPAIRMENT,PT TRANSPORTED,Y,NA
22007365,2022-01-16,12:21:00,3322 Tulane Ave,NA,3322 Tulane Ave,TR/PARKING,TR/PARKING,COMPLETED,Y,NA
22007358,2022-01-16,11:57:00,720 E Davenport St,NA,720 E Davenport St,TRESPASS,TRESPASS,NO REPORT,N,NA
22007357,2022-01-16,11:56:00,2730 Bradford Dr,CHURCH OF JESUS CHRIST OF LATTER DAY,2730 Bradford Dr,Z Sick Person,Z Sick Person,COMPLETED,Y,NA
22007354,2022-01-16,11:40:00,5 Regal Ln,NA,5 Regal Ln,Z Convulsions/Seizures,Z Convulsions/Seizures,COMPLETED,N,NA
22007343,2022-01-16,11:13:00,1911 Taylor Dr,NA,1911 Taylor Dr,TR/PARKING,TR/PARKING,COMPLETED,N,NA
22007341,2022-01-16,11:14:00,500 S Gilbert St,NA,500 S Gilbert St 9,THEFT,THEFT,INCIDENT REPORT TAKEN,Y,NA
22007340,2022-01-16,11:06:00,410 E WASHINGTON ST,IOWA CITY POLICE DEPARTMENT,410 E WASHINGTON ST,SUPERVISOR RESPONSE,SUPERVISOR RESPONSE,PREVIOUS INCIDENT,Y,NA
22007337,2022-01-16,11:06:00,316 E BURLINGTON ST,NA,316 E BURLINGTON ST,911 HANGUP,911 HANGUP,COMPLETED,N,NA
22007336,2022-01-16,11:03:00,1122 Pine St,NA,1122 Pine St,TR/PARKING,TR/PARKING,COMPLETED,N,NA
22007335,2022-01-16,11:02:00,2121 Palmer Cir,NA,2121 Palmer Cir,Z Sick Person,Z Sick Person,HANDLED BY OTHER AGENCY,N,NA
22007327,2022-01-16,10:37:00,214 E Jefferson St,FIRST UNITED METHODIST CHURCH,214 E Jefferson St,ESCORT/RELAY,ESCORT/RELAY,COMPLETED,Y,NA
22007326,2022-01-16,10:37:00,Herbert Hoover Hwy SE/Eastbury Dr,NA,Herbert Hoover Hwy SE/Eastbury Dr,TRAFFIC STOP,TRAFFIC STOP,WARNING ISSUED VERBAL,N,NA
22007324,2022-01-16,10:33:00,2131 Davis St,NA,2131 Davis St,ASSIST OTHER AGENCY,ASSIST OTHER AGENCY,UNABLE TO LOCATE,Y,NA
22007323,2022-01-16,10:32:00,100 N Clinton St,NA,100 N Clinton St,911 HANGUP,911 HANGUP,COMPLETED,Y,NA
22007322,2022-01-16,10:28:00,1924 Gleason Ave,NA,1924 Gleason Ave,Z Sick Person,Z Sick Person,REF TO OTHER AGENCY,Y,NA
22007317,2022-01-16,10:08:00,410 E WASHINGTON ST,IOWA CITY POLICE DEPARTMENT,410 E WASHINGTON ST,COMMUNITY POLICING,COMMUNITY POLICING,COMPLETED,N,NA
22007316,2022-01-16,10:06:00,616 Westwinds Dr,NA,616 Westwinds Dr,THREATS,THREATS,PREVIOUS INCIDENT,Y,NA
22007314,2022-01-16,10:00:00,708 Oakcrest ST,NA,708 Oakcrest ST,TR/ROAD HAZARD,TR/ROAD HAZARD,INFORMATION,N,NA
22007313,2022-01-16,10:00:00,725 S Summit St,NA,725 S Summit St,FIRE RESPONSE LAW,FIRE RESPONSE LAW,COMPLETED,Y,NA
22007310,2022-01-16,09:53:00,601 HWY 6 W,VA HOSPITAL,601 HWY 6 W,911 HANGUP,911 HANGUP,COMPLETED,Y,NA
